year,month,route_id,ridership
2019,12,1,2368
2019,12,2,4746
2019,12,3,7304
2019,12,4,6472
2019,12,5,3182
2019,12,6,4964
2019,12,7,4598
2019,12,8,2512
2019,12,9,4036
2019,12,T1,10422
2019,12,T4,11965
2019,12,12,2380
2019,12,T3,12380
2019,12,14,5491
2019,12,G1,10194
2019,12,16,5959
2019,12,17,8284
2019,12,18,12738
2019,12,19,1161
2019,12,20,4182
2019,12,21,8915
2019,12,22,3929
2019,12,23,14485
2019,12,24,1955
2019,12,25,3799
2019,12,26,10152
2019,12,27,3539
2019,12,28,1696
2019,12,29,3938
2019,12,30,1108
2019,12,31,4026
2019,12,32,4060
2019,12,33,9985
2019,12,T2,11756
2019,12,35,122
2019,12,T5,12902
2019,12,37,3164
2019,12,38,2291
2019,12,39,2195
2019,12,40,6405
2019,12,42,8197
2019,12,43,2894
2019,12,44,2897
2019,12,45,5672
2019,12,46,4956
2019,12,47,15695
2019,12,48,6764
2019,12,49,2699
2019,12,50,1803
2019,12,52,12952
2019,12,53,2579
2019,12,54,5927
2019,12,55,4245
2019,12,56,10167
2019,12,57,9046
2019,12,58,7373
2019,12,59,4272
2019,12,60,9231
2019,12,61,3989
2019,12,62,203
2019,12,64,5321
2019,12,65,6953
2019,12,66,9647
2019,12,67,4406
2019,12,68,2080
2019,12,70,7322
2019,12,73,2196
2019,12,75,3363
2019,12,77,706
2019,12,78,62
2019,12,79,4913
2019,12,80,168
2019,12,84,3076
2019,12,88,2039
2019,12,89,1562
2019,12,90,399
2019,12,92,265
2019,12,93,1205
2019,12,94,421
2019,12,95,514
2019,12,96,1238
2019,12,97,598
2019,12,98,986
2019,12,99,1253
2019,12,D1,4180
2019,12,D2,4235
2019,12,103,1151
2019,12,104,2927
2019,12,105,1085
2019,12,106,1126
2019,12,107,980
2019,12,108,4934
2019,12,109,4310
2019,12,110,2046
2019,12,111,1437
2019,12,112,939
2019,12,113,6436
2019,12,114,1824
2019,12,115,1045
2019,12,117,1874
2019,12,118,387
2019,12,119,694
2019,12,120,369
2019,12,123,1028
2019,12,124,1823
2019,12,125,2132
2019,12,126,567
2019,12,127,294
2019,12,128,361
2019,12,129,852
2019,12,130,505
2019,12,131,702
2019,12,132,329
2019,12,133,61
2019,12,139,373
2019,12,150,30
2019,12,201,143
2019,12,204,184
2019,12,206,134
2019,12,310,386
2019,12,311,215
2019,12,47M,902
2019,12,BLVDDIR,2794
2019,12,B1 OWL,1733
2019,12,63,15629
2019,12,71,4366
2019,12,41,2489
2019,12,K,7738
2019,12,51,6257
2019,12,LUCYGO,1533
2019,12,LUCYGR,965
2019,12,L1 OWL,1754
2019,12,82,8779
2019,12,81,5050
2020,1,1,2668
2020,1,2,5746
2020,1,3,8426
2020,1,4,7208
2020,1,5,3671
2020,1,6,5886
2020,1,7,5324
2020,1,8,3047
2020,1,9,4642
2020,1,T1,10422
2020,1,T4,12669
2020,1,12,2626
2020,1,T3,12094
2020,1,14,5937
2020,1,G1,10194
2020,1,16,7136
2020,1,17,9620
2020,1,18,14601
2020,1,19,1392
2020,1,20,5109
2020,1,21,9556
2020,1,22,4306
2020,1,23,17099
2020,1,24,2335
2020,1,25,4487
2020,1,26,11646
2020,1,27,4149
2020,1,28,1985
2020,1,29,4194
2020,1,30,1403
2020,1,31,4837
2020,1,32,5101
2020,1,33,11345
2020,1,T2,12048
2020,1,35,131
2020,1,T5,13871
2020,1,37,3408
2020,1,38,2734
2020,1,39,2536
2020,1,40,7448
2020,1,42,9281
2020,1,43,3447
2020,1,44,3507
2020,1,45,6128
2020,1,46,5879
2020,1,47,17054
2020,1,48,7641
2020,1,49,3087
2020,1,50,1996
2020,1,52,14268
2020,1,53,2907
2020,1,54,6961
2020,1,55,4749
2020,1,56,11949
2020,1,57,10437
2020,1,58,8318
2020,1,59,4564
2020,1,60,11137
2020,1,61,4607
2020,1,62,237
2020,1,64,5931
2020,1,65,8475
2020,1,66,10865
2020,1,67,4962
2020,1,68,2215
2020,1,70,8872
2020,1,73,2488
2020,1,75,3312
2020,1,77,844
2020,1,78,76
2020,1,79,5565
2020,1,80,208
2020,1,84,3668
2020,1,88,2432
2020,1,89,1870
2020,1,90,407
2020,1,92,278
2020,1,93,1158
2020,1,94,405
2020,1,95,535
2020,1,96,1252
2020,1,97,598
2020,1,98,968
2020,1,99,1212
2020,1,D1,4180
2020,1,D2,4235
2020,1,103,1293
2020,1,104,3137
2020,1,105,1201
2020,1,106,1255
2020,1,107,1005
2020,1,108,5261
2020,1,109,4390
2020,1,110,2010
2020,1,111,1497
2020,1,112,1167
2020,1,113,6678
2020,1,114,1846
2020,1,115,1125
2020,1,117,1945
2020,1,118,471
2020,1,119,698
