city,date,route_id,mode,level,ridership
Philadelphia,2022-08-01,,Heavy Rail,MODE,128345
Philadelphia,2022-08-01,,Regional Rail,MODE,53394
Philadelphia,2022-08-01,,Trackless Trolley,MODE,8728
Philadelphia,2022-08-01,,Trolley,MODE,44765
Philadelphia,2022-09-01,,Bus,MODE,341880
Philadelphia,2022-09-01,,CCT,MODE,2864
Philadelphia,2022-09-01,,Heavy Rail,MODE,147378
Philadelphia,2022-09-01,,Regional Rail,MODE,62122
Philadelphia,2022-09-01,,Trackless Trolley,MODE,10641
Philadelphia,2022-09-01,,Trolley,MODE,39475
Philadelphia,2022-10-01,,Bus,MODE,340544
Philadelphia,2022-10-01,,CCT,MODE,2857
Philadelphia,2022-10-01,,Heavy Rail,MODE,156381
Philadelphia,2022-10-01,,Regional Rail,MODE,63954
Philadelphia,2022-10-01,,Trackless Trolley,MODE,11084
Philadelphia,2022-10-01,,Trolley,MODE,39046
Philadelphia,2022-11-01,,Bus,MODE,338481
Philadelphia,2022-11-01,,CCT,MODE,2851
Philadelphia,2022-11-01,,Heavy Rail,MODE,145873
Philadelphia,2022-11-01,,Regional Rail,MODE,64215
Philadelphia,2022-11-01,,Trackless Trolley,MODE,10195
Philadelphia,2022-11-01,,Trolley,MODE,40666
Philadelphia,2022-12-01,,Bus,MODE,299614
Philadelphia,2022-12-01,,CCT,MODE,2869
Philadelphia,2022-12-01,,Heavy Rail,MODE,136539
Philadelphia,2022-12-01,,Regional Rail,MODE,60226
Philadelphia,2022-12-01,,Trackless Trolley,MODE,9677
Philadelphia,2022-12-01,,Trolley,MODE,37275
Philadelphia,2023-01-01,,Bus,MODE,319605
Philadelphia,2023-01-01,,CCT,MODE,2834
Philadelphia,2023-01-01,,Heavy Rail,MODE,142909
Philadelphia,2023-01-01,,Regional Rail,MODE,62311
Philadelphia,2023-01-01,,Trackless Trolley,MODE,8931
Philadelphia,2023-01-01,,Trolley,MODE,39738
Philadelphia,2023-02-01,,Bus,MODE,342049
Philadelphia,2023-02-01,,CCT,MODE,2882
Philadelphia,2023-02-01,,Heavy Rail,MODE,144909
Philadelphia,2023-02-01,,Regional Rail,MODE,64720
Philadelphia,2023-02-01,,Trackless Trolley,MODE,8742
Philadelphia,2023-02-01,,Trolley,MODE,44706
Philadelphia,2023-03-01,,Bus,MODE,341407
Philadelphia,2023-03-01,,CCT,MODE,2982
Philadelphia,2023-03-01,,Heavy Rail,MODE,137699
Philadelphia,2023-03-01,,Regional Rail,MODE,66514
Philadelphia,2023-03-01,,Trackless Trolley,MODE,9594
Philadelphia,2023-03-01,,Trolley,MODE,39744
Philadelphia,2023-04-01,,Bus,MODE,336495
Philadelphia,2023-04-01,,CCT,MODE,2952
Philadelphia,2023-04-01,,Heavy Rail,MODE,138287
Philadelphia,2023-04-01,,Regional Rail,MODE,66900
Philadelphia,2023-04-01,,Trackless Trolley,MODE,9656
Philadelphia,2023-04-01,,Trolley,MODE,38427
Philadelphia,2023-05-01,,Bus,MODE,359462
Philadelphia,2023-05-01,,CCT,MODE,2985
Philadelphia,2023-05-01,,Heavy Rail,MODE,143856
Philadelphia,2023-05-01,,Regional Rail,MODE,65979
Philadelphia,2023-05-01,,Trackless Trolley,MODE,10310
Philadelphia,2023-05-01,,Trolley,MODE,47563
Philadelphia,2023-06-01,,Bus,MODE,302745
Philadelphia,2023-06-01,,CCT,MODE,2981
Philadelphia,2023-06-01,,Heavy Rail,MODE,134429
Philadelphia,2023-06-01,,Regional Rail,MODE,66067
Philadelphia,2023-06-01,,Trackless Trolley,MODE,8757
Philadelphia,2023-06-01,,Trolley,MODE,43548
Philadelphia,2023-07-01,,Bus,MODE,297469
Philadelphia,2023-07-01,,CCT,MODE,2921
Philadelphia,2023-07-01,,Heavy Rail,MODE,129900
Philadelphia,2023-07-01,,Regional Rail,MODE,61204
Philadelphia,2023-07-01,,Trackless Trolley,MODE,8734
Philadelphia,2023-07-01,,Trolley,MODE,40544
Philadelphia,2023-08-01,,Bus,MODE,307127
Philadelphia,2023-08-01,,CCT,MODE,2972
Philadelphia,2023-08-01,,Heavy Rail,MODE,141078
Philadelphia,2023-08-01,,Regional Rail,MODE,60123
Philadelphia,2023-08-01,,Trackless Trolley,MODE,9034
Philadelphia,2023-08-01,,Trolley,MODE,44092
Philadelphia,2023-09-01,,Bus,MODE,367249
Philadelphia,2023-09-01,,CCT,MODE,3044
Philadelphia,2023-09-01,,Heavy Rail,MODE,181826
Philadelphia,2023-09-01,,Regional Rail,MODE,70733
Philadelphia,2023-09-01,,Trackless Trolley,MODE,11027
Philadelphia,2023-09-01,,Trolley,MODE,50049
Philadelphia,2023-10-01,,Bus,MODE,378441
Philadelphia,2023-10-01,,CCT,MODE,3095
Philadelphia,2023-10-01,,Heavy Rail,MODE,192092
Philadelphia,2023-10-01,,Regional Rail,MODE,74307
Philadelphia,2023-10-01,,Trackless Trolley,MODE,11875
Philadelphia,2023-10-01,,Trolley,MODE,52658
Philadelphia,2023-11-01,,Bus,MODE,368386
Philadelphia,2023-11-01,,CCT,MODE,3089
Philadelphia,2023-11-01,,Heavy Rail,MODE,182370
Philadelphia,2023-11-01,,Regional Rail,MODE,76946
Philadelphia,2023-11-01,,Trackless Trolley,MODE,10384
Philadelphia,2023-11-01,,Trolley,MODE,49494
Philadelphia,2023-12-01,,Bus,MODE,347255
Philadelphia,2023-12-01,,CCT,MODE,3138
Philadelphia,2023-12-01,,Heavy Rail,MODE,171378
Philadelphia,2023-12-01,,Regional Rail,MODE,72460
Philadelphia,2023-12-01,,Trackless Trolley,MODE,9159
Philadelphia,2023-12-01,,Trolley,MODE,48402
Philadelphia,2024-01-01,,Bus,MODE,343510
Philadelphia,2024-01-01,,CCT,MODE,2744
Philadelphia,2024-01-01,,Heavy Rail,MODE,169013
Philadelphia,2024-01-01,,Regional Rail,MODE,69804
Philadelphia,2024-01-01,,Trackless Trolley,MODE,8426
Philadelphia,2024-01-01,,Trolley,MODE,53846
Philadelphia,2024-02-01,,Bus,MODE,374784
Philadelphia,2024-02-01,,CCT,MODE,3054
Philadelphia,2024-02-01,,Regional Rail,MODE,77066
Philadelphia,2024-02-01,,Heavy Rail,MODE,180105
Philadelphia,2024-02-01,,Trolley,MODE,54088
Philadelphia,2024-02-01,,Trackless Trolley,MODE,9206
Philadelphia,2024-03-01,,Bus,MODE,344983
Philadelphia,2024-03-01,,CCT,MODE,3177
Philadelphia,2024-03-01,,Regional Rail,MODE,78463
Philadelphia,2024-03-01,,Heavy Rail,MODE,172117
Philadelphia,2024-03-01,,Trolley,MODE,50445
Philadelphia,2024-03-01,,Trackless Trolley,MODE,8405
Philadelphia,2024-04-01,,Bus,MODE,362983
Philadelphia,2024-04-01,,CCT,MODE,3164
Philadelphia,2024-04-01,,Regional Rail,MODE,79247
Philadelphia,2024-04-01,,Heavy Rail,MODE,195409
Philadelphia,2024-04-01,,Trolley,MODE,53229
Philadelphia,2024-04-01,,Trackless Trolley,MODE,12327
Philadelphia,2024-05-01,,Bus,MODE,381468
Philadelphia,2024-05-01,,CCT,MODE,3187
Philadelphia,2024-05-01,,Regional Rail,MODE,79261
Philadelphia,2024-05-01,,Heavy Rail,MODE,190688
Philadelphia,2024-05-01,,Trolley,MODE,52956
Philadelphia,2024-05-01,,Trackless Trolley,MODE,13420
Philadelphia,2024-06-01,,Bus,MODE,341764
Philadelphia,2024-06-01,,CCT,MODE,3187
Philadelphia,2024-06-01,,Regional Rail,MODE,75509
Philadelphia,2024-06-01,,Heavy Rail,MODE,186343
Philadelphia,2024-06-01,,Trolley,MODE,46640
Philadelphia,2024-06-01,,Trackless Trolley,MODE,11640
Philadelphia,2024-07-01,,Bus,MODE,322859
Philadelphia,2024-07-01,,CCT,MODE,3000
Philadelphia,2024-07-01,,Regional Rail,MODE,74700
Philadelphia,2024-07-01,,Heavy Rail,MODE,187200
Philadelphia,2024-07-01,,Trolley,MODE,41973
Philadelphia,2024-07-01,,Trackless Trolley,MODE,10682
Philadelphia,2024-08-01,,Bus,MODE,334527
Philadelphia,2024-08-01,,CCT,MODE,3057
