year,month,route_id,ridership,city
2020,1,17,9620,Philadelphia
2020,1,18,14601,Philadelphia
2020,1,19,1392,Philadelphia
2020,1,20,5109,Philadelphia
2020,1,21,9556,Philadelphia
2020,1,22,4306,Philadelphia
2020,1,23,17099,Philadelphia
2020,1,24,2335,Philadelphia
2020,1,25,4487,Philadelphia
2020,1,26,11646,Philadelphia
2020,1,27,4149,Philadelphia
2020,1,28,1985,Philadelphia
2020,1,29,4194,Philadelphia
2020,1,30,1403,Philadelphia
2020,1,31,4837,Philadelphia
2020,1,32,5101,Philadelphia
2020,1,33,11345,Philadelphia
2020,1,T2,12048,Philadelphia
2020,1,35,131,Philadelphia
2020,1,T5,13871,Philadelphia
2020,1,37,3408,Philadelphia
2020,1,38,2734,Philadelphia
2020,1,39,2536,Philadelphia
2020,1,40,7448,Philadelphia
2020,1,42,9281,Philadelphia
2020,1,43,3447,Philadelphia
2020,1,44,3507,Philadelphia
2020,1,45,6128,Philadelphia
2020,1,46,5879,Philadelphia
2020,1,47,17054,Philadelphia
2020,1,48,7641,Philadelphia
2020,1,49,3087,Philadelphia
2020,1,50,1996,Philadelphia
2020,1,52,14268,Philadelphia
2020,1,53,2907,Philadelphia
2020,1,54,6961,Philadelphia
2020,1,55,4749,Philadelphia
2020,1,56,11949,Philadelphia
2020,1,57,10437,Philadelphia
2020,1,58,8318,Philadelphia
2020,1,59,4564,Philadelphia
2020,1,60,11137,Philadelphia
2020,1,61,4607,Philadelphia
2020,1,62,237,Philadelphia
2020,1,64,5931,Philadelphia
2020,1,65,8475,Philadelphia
2020,1,66,10865,Philadelphia
2020,1,67,4962,Philadelphia
2020,1,68,2215,Philadelphia
2020,1,70,8872,Philadelphia
2020,1,73,2488,Philadelphia
2020,1,75,3312,Philadelphia
2020,1,77,844,Philadelphia
2020,1,78,76,Philadelphia
2020,1,79,5565,Philadelphia
2020,1,80,208,Philadelphia
2020,1,84,3668,Philadelphia
2020,1,88,2432,Philadelphia
2020,1,89,1870,Philadelphia
2020,1,90,407,Philadelphia
2020,1,92,278,Philadelphia
2020,1,93,1158,Philadelphia
2020,1,94,405,Philadelphia
2020,1,95,535,Philadelphia
2020,1,96,1252,Philadelphia
2020,1,97,598,Philadelphia
2020,1,98,968,Philadelphia
2020,1,99,1212,Philadelphia
2020,1,D1,4180,Philadelphia
2020,1,D2,4235,Philadelphia
2020,1,103,1293,Philadelphia
2020,1,104,3137,Philadelphia
2020,1,105,1201,Philadelphia
2020,1,106,1255,Philadelphia
2020,1,107,1005,Philadelphia
2020,1,108,5261,Philadelphia
2020,1,109,4390,Philadelphia
2020,1,110,2010,Philadelphia
2020,1,111,1497,Philadelphia
2020,1,112,1167,Philadelphia
2020,1,113,6678,Philadelphia
2020,1,114,1846,Philadelphia
2020,1,115,1125,Philadelphia
2020,1,117,1945,Philadelphia
2020,1,118,471,Philadelphia
2020,1,119,698,Philadelphia
2020,1,120,379,Philadelphia
2020,1,123,917,Philadelphia
2020,1,124,1811,Philadelphia
2020,1,125,2206,Philadelphia
