year,month,mode,ridership,city
2023,8,CCT,2972,Philadelphia
2023,8,Heavy Rail,141078,Philadelphia
2023,8,Regional Rail,60123,Philadelphia
2023,8,Trackless Trolley,9034,Philadelphia
2023,8,Trolley,44092,Philadelphia
2023,9,Bus,367249,Philadelphia
2023,9,CCT,3044,Philadelphia
2023,9,Heavy Rail,181826,Philadelphia
2023,9,Regional Rail,70733,Philadelphia
2023,9,Trackless Trolley,11027,Philadelphia
2023,9,Trolley,50049,Philadelphia
2023,10,Bus,378441,Philadelphia
2023,10,CCT,3095,Philadelphia
2023,10,Heavy Rail,192092,Philadelphia
2023,10,Regional Rail,74307,Philadelphia
2023,10,Trackless Trolley,11875,Philadelphia
2023,10,Trolley,52658,Philadelphia
2023,11,Bus,368386,Philadelphia
2023,11,CCT,3089,Philadelphia
2023,11,Heavy Rail,182370,Philadelphia
2023,11,Regional Rail,76946,Philadelphia
2023,11,Trackless Trolley,10384,Philadelphia
2023,11,Trolley,49494,Philadelphia
2023,12,Bus,347255,Philadelphia
2023,12,CCT,3138,Philadelphia
2023,12,Heavy Rail,171378,Philadelphia
2023,12,Regional Rail,72460,Philadelphia
2023,12,Trackless Trolley,9159,Philadelphia
2023,12,Trolley,48402,Philadelphia
2024,1,Bus,343510,Philadelphia
2024,1,CCT,2744,Philadelphia
2024,1,Heavy Rail,169013,Philadelphia
2024,1,Regional Rail,69804,Philadelphia
2024,1,Trackless Trolley,8426,Philadelphia
2024,1,Trolley,53846,Philadelphia
2024,2,Bus,374784,Philadelphia
2024,2,CCT,3054,Philadelphia
2024,2,Regional Rail,77066,Philadelphia
2024,2,Heavy Rail,180105,Philadelphia
2024,2,Trolley,54088,Philadelphia
2024,2,Trackless Trolley,9206,Philadelphia
2024,3,Bus,344983,Philadelphia
2024,3,CCT,3177,Philadelphia
2024,3,Regional Rail,78463,Philadelphia
2024,3,Heavy Rail,172117,Philadelphia
2024,3,Trolley,50445,Philadelphia
2024,3,Trackless Trolley,8405,Philadelphia
2024,4,Bus,362983,Philadelphia
2024,4,CCT,3164,Philadelphia
2024,4,Regional Rail,79247,Philadelphia
2024,4,Heavy Rail,195409,Philadelphia
2024,4,Trolley,53229,Philadelphia
2024,4,Trackless Trolley,12327,Philadelphia
2024,5,Bus,381468,Philadelphia
2024,5,CCT,3187,Philadelphia
2024,5,Regional Rail,79261,Philadelphia
2024,5,Heavy Rail,190688,Philadelphia
2024,5,Trolley,52956,Philadelphia
2024,5,Trackless Trolley,13420,Philadelphia
2024,6,Bus,341764,Philadelphia
2024,6,CCT,3187,Philadelphia
2024,6,Regional Rail,75509,Philadelphia
2024,6,Heavy Rail,186343,Philadelphia
2024,6,Trolley,46640,Philadelphia
2024,6,Trackless Trolley,11640,Philadelphia
2024,7,Bus,322859,Philadelphia
2024,7,CCT,3000,Philadelphia
2024,7,Regional Rail,74700,Philadelphia
2024,7,Heavy Rail,187200,Philadelphia
2024,7,Trolley,41973,Philadelphia
2024,7,Trackless Trolley,10682,Philadelphia
2024,8,Bus,334527,Philadelphia
2024,8,CCT,3057,Philadelphia
2024,8,Regional Rail,74066,Philadelphia
2024,8,Heavy Rail,205179,Philadelphia
2024,8,Trolley,47908,Philadelphia
2024,8,Trackless Trolley,11075,Philadelphia
2024,9,Bus,401877,Philadelphia
2024,9,CCT,3139,Philadelphia
2024,9,Regional Rail,84360,Philadelphia
2024,9,Heavy Rail,230261,Philadelphia
2024,9,Trolley,61949,Philadelphia
2024,9,Trackless Trolley,13804,Philadelphia
2024,10,Bus,405318,Philadelphia
2024,10,CCT,3236,Philadelphia
2024,10,Regional Rail,87030,Philadelphia
2024,10,Heavy Rail,230653,Philadelphia
2024,10,Trolley,61634,Philadelphia
2024,10,Trackless Trolley,13741,Philadelphia
2024,11,Bus,382848,Philadelphia
2024,11,CCT,3145,Philadelphia
2024,11,Regional Rail,86498,Philadelphia
2024,11,Heavy Rail,222197,Philadelphia
2024,11,Trolley,57629,Philadelphia
2024,11,Trackless Trolley,12902,Philadelphia
2024,12,Bus,350305,Philadelphia
2024,12,CCT,3100,Philadelphia
2024,12,Regional Rail,80600,Philadelphia
2024,12,Heavy Rail,204500,Philadelphia
2024,12,Trolley,52008,Philadelphia
2024,12,Trackless Trolley,11359,Philadelphia
2025,1,Bus,354820,Philadelphia
2025,1,CCT,2831,Philadelphia
2025,1,Regional Rail,76737,Philadelphia
2025,1,Heavy Rail,205867,Philadelphia
2025,1,Trolley,53668,Philadelphia
2025,1,Trackless Trolley,11926,Philadelphia
2025,2,Bus,375744,Philadelphia
2025,2,CCT,2300,Philadelphia
2025,2,Regional Rail,88400,Philadelphia
2025,2,Heavy Rail,217100,Philadelphia
2025,2,Trolley,58386,Philadelphia
2025,2,Trackless Trolley,12007,Philadelphia
2025,3,Bus,382227,Philadelphia
2025,3,CCT,3200,Philadelphia
2025,3,Regional Rail,84800,Philadelphia
2025,3,Heavy Rail,204400,Philadelphia
2025,3,Trolley,59188,Philadelphia
2025,3,Trackless Trolley,12691,Philadelphia
2025,4,Bus,377072,Philadelphia
2025,4,CCT,3100,Philadelphia
2025,4,Regional Rail,84300,Philadelphia
2025,4,Heavy Rail,214900,Philadelphia
2025,4,Trolley,58964,Philadelphia
2025,4,Trackless Trolley,12342,Philadelphia
2025,5,Bus,387744,Philadelphia
2025,5,CCT,3228,Philadelphia
2025,5,Regional Rail,84666,Philadelphia
2025,5,Heavy Rail,220334,Philadelphia
2025,5,Trolley,59762,Philadelphia
2025,5,Trackless Trolley,12557,Philadelphia
2025,6,Bus,345285,Philadelphia
2025,6,CCT,3185,Philadelphia
2025,6,Regional Rail,80214,Philadelphia
2025,6,Heavy Rail,215302,Philadelphia
2025,6,Trolley,52876,Philadelphia
2025,6,Trackless Trolley,11018,Philadelphia
2025,7,Bus,334079,Philadelphia
2025,7,CCT,3137,Philadelphia
2025,7,Regional Rail,81331,Philadelphia
2025,7,Heavy Rail,199095,Philadelphia
2025,7,Trolley,41973,Philadelphia
2025,7,Trackless Trolley,10142,Philadelphia
2025,8,Bus,331653,Philadelphia
2025,8,CCT,3133,Philadelphia
2025,8,Regional Rail,75494,Philadelphia
2025,8,Heavy Rail,197618,Philadelphia
2025,8,Trolley,43687,Philadelphia
2025,8,Trackless Trolley,10510,Philadelphia
2025,9,Bus,377001,Philadelphia
2025,9,CCT,3156,Philadelphia
2025,9,Regional Rail,90523,Philadelphia
2025,9,Heavy Rail,223428,Philadelphia
2025,9,Trolley,54951,Philadelphia
2025,9,Trackless Trolley,12830,Philadelphia
2025,10,Bus,392615,Philadelphia
2025,10,CCT,3154,Philadelphia
2025,10,Regional Rail,80635,Philadelphia
2025,10,Heavy Rail,228969,Philadelphia
2025,10,Trolley,61570,Philadelphia
2025,10,Trackless Trolley,12758,Philadelphia
