year,month,route,ridership
2019,4,63,378695
2019,4,63W,36040
2019,4,65,208613
2019,4,66,559838
2019,4,67,239388
2019,4,68,24566
2019,4,7,122361
2019,4,70,216516
2019,4,71,226293
2019,4,72,359198
2019,4,73,133791
2019,4,74,299783
2019,4,75,173372
2019,4,76,258466
2019,4,77,502642
2019,4,78,191148
2019,4,79,605454
2019,4,8,570932
2019,4,80,272858
2019,4,81,291897
2019,4,81W,39668
2019,4,82,422597
2019,4,84,89290
2019,4,85,230913
2019,4,85A,16921
2019,4,86,49340
2019,4,87,283028
2019,4,88,29456
2019,4,8A,70132
2019,4,9,456956
2019,4,90,109394
2019,4,91,154271
2019,4,92,155328
2019,4,93,82166
2019,4,94,201987
2019,4,95,140277
2019,4,96,17262
2019,4,97,74710
2019,4,J14,261576
2019,4,X49,133064
2019,4,X9,171621
2019,4,X98,229
2019,5,1,38108
2019,5,10,670
2019,5,100,11212
2019,5,1001,5139
2019,5,103,51654
2019,5,106,30281
2019,5,108,23148
2019,5,11,37945
2019,5,111,83846
2019,5,111A,5865
2019,5,112,47554
2019,5,115,79656
2019,5,119,116110
2019,5,12,320265
2019,5,120,16540
2019,5,121,24434
2019,5,124,32503
2019,5,125,24694
2019,5,126,130767
2019,5,130,2385
2019,5,134,62050
2019,5,135,73990
2019,5,136,43002
2019,5,143,38159
2019,5,146,365223
2019,5,147,319876
2019,5,148,53619
2019,5,15,202826
2019,5,151,421423
2019,5,152,263425
2019,5,155,167595
2019,5,156,146279
2019,5,157,110047
2019,5,165,4508
2019,5,169,1996
2019,5,171,29409
2019,5,172,55268
2019,5,18,100741
2019,5,19,227
2019,5,192,17780
2019,5,2,80370
2019,5,20,438756
2019,5,201,59264
2019,5,206,16323
2019,5,21,246293
2019,5,22,462588
2019,5,24,62997
2019,5,26,92661
2019,5,28,155042
2019,5,29,320651
2019,5,3,444646
2019,5,30,84652
2019,5,31,8815
2019,5,34,130660
2019,5,35,128185
2019,5,36,355118
2019,5,37,32660
2019,5,39,46879
2019,5,4,545982
2019,5,43,37761
2019,5,44,83556
2019,5,47,257957
2019,5,48,21323
2019,5,49,460167
2019,5,49B,143937
2019,5,5,13076
2019,5,50,247165
2019,5,51,36755
2019,5,52,332305
2019,5,52A,105165
2019,5,53,506483
2019,5,53A,189933
2019,5,54,276682
2019,5,54A,16389
2019,5,54B,76927
2019,5,55,260690
2019,5,55A,7329
2019,5,55N,12613
2019,5,56,221142
2019,5,57,61393
2019,5,59,81451
2019,5,6,270146
2019,5,60,272498
2019,5,62,274826
2019,5,62H,21717
2019,5,63,412348
2019,5,63W,37464
2019,5,65,226433
2019,5,66,587638
2019,5,67,264223
2019,5,68,25896
2019,5,7,104341
2019,5,70,240437
2019,5,71,252721
2019,5,72,388584
2019,5,73,150161
2019,5,74,320618
2019,5,75,192956
2019,5,76,290772
2019,5,77,537291
2019,5,78,195927
2019,5,79,659302
2019,5,8,535001
2019,5,80,291137
2019,5,81,303416
2019,5,81W,41351
2019,5,82,444547
2019,5,84,99509
2019,5,85,246952
2019,5,85A,18467
2019,5,86,52258
2019,5,87,309134
2019,5,88,32446
2019,5,8A,79579
2019,5,9,499469
2019,5,90,114199
2019,5,91,166030
2019,5,92,157138
2019,5,93,84998
2019,5,94,220453
2019,5,95,154063
2019,5,96,17251
2019,5,97,79380
2019,5,J14,279225
2019,5,X49,149675
2019,5,X9,189275
2019,5,X98,198
2019,6,1,36095
2019,6,10,8832
2019,6,100,9496
2019,6,1001,5355
2019,6,103,48982
2019,6,106,25281
2019,6,108,19231
2019,6,11,35786
2019,6,111,74015
2019,6,111A,6479
2019,6,112,41668
2019,6,115,71078
2019,6,119,106396
2019,6,12,297201
2019,6,120,15304
2019,6,121,22693
2019,6,124,39575
2019,6,125,23447
2019,6,126,120674
2019,6,130,14263
2019,6,134,56832
2019,6,135,67917
2019,6,136,39893
2019,6,143,35689
2019,6,146,371461
2019,6,147,313014
2019,6,148,46848
2019,6,15,187562
2019,6,151,423070
2019,6,152,237715
2019,6,155,153253
2019,6,156,137097
2019,6,157,90253
2019,6,165,4103
2019,6,169,1753
2019,6,171,13463
2019,6,172,24894
2019,6,18,91550
2019,6,19,720
2019,6,192,17174
2019,6,2,72268
2019,6,20,399045
2019,6,201,43650
2019,6,206,5141
2019,6,21,236109
2019,6,22,442833
2019,6,24,53415
2019,6,26,84637
2019,6,28,145676
2019,6,29,315624
2019,6,3,420470
2019,6,30,78959
2019,6,31,6747
2019,6,34,118988
2019,6,35,119721
2019,6,36,339827
2019,6,37,29363
2019,6,39,44153
2019,6,4,507571
2019,6,43,34375
2019,6,44,74121
2019,6,47,241859
2019,6,48,15973
2019,6,49,441898
2019,6,49B,139022
2019,6,5,12776
2019,6,50,230669
2019,6,51,33794
2019,6,52,303065
2019,6,52A,98330
2019,6,53,467570
2019,6,53A,171689
2019,6,54,264041
2019,6,54A,15518
2019,6,54B,76393
2019,6,55,247814
2019,6,55A,6225
2019,6,55N,11360
2019,6,56,206882
2019,6,57,55354
2019,6,59,71835
2019,6,6,273268
2019,6,60,245923
2019,6,62,257953
2019,6,62H,21013
2019,6,63,383505
2019,6,63W,35986
2019,6,65,220771
2019,6,66,560451
2019,6,67,245368
2019,6,68,21584
2019,6,7,82891
2019,6,70,219541
2019,6,71,228725
2019,6,72,379628
2019,6,73,135853
2019,6,74,300732
2019,6,75,178005
2019,6,76,283788
2019,6,77,506297
2019,6,78,189901
2019,6,79,627215
2019,6,8,478794
2019,6,80,282189
2019,6,81,293358
2019,6,81W,38159
2019,6,82,406728
2019,6,84,90458
2019,6,85,232540
2019,6,85A,16777
2019,6,86,42242
2019,6,87,289638
2019,6,88,28567
2019,6,8A,70787
2019,6,9,481306
2019,6,90,109867
2019,6,91,151754
2019,6,92,146322
2019,6,93,74121
2019,6,94,203308
2019,6,95,140346
2019,6,96,15620
2019,6,97,74425
2019,6,J14,273357
2019,6,X49,123182
2019,6,X9,157965
2019,6,X98,94
2019,7,1,36287
2019,7,10,17645
2019,7,100,9882
2019,7,1001,80990
2019,7,103,50294
2019,7,106,24802
2019,7,108,19225
2019,7,11,37580
2019,7,111,73323
2019,7,111A,6488
2019,7,112,40655
2019,7,115,69418
2019,7,119,105889
2019,7,12,298339
2019,7,120,15574
2019,7,121,24341
2019,7,124,52644
2019,7,125,25011
2019,7,126,122466
2019,7,130,19416
2019,7,134,59855
2019,7,135,71777
2019,7,136,42255
2019,7,143,34700
2019,7,146,371086
2019,7,147,329468
2019,7,148,50055
2019,7,15,188501
2019,7,151,448404
2019,7,152,202047
2019,7,155,165491
2019,7,156,143283
2019,7,157,97971
2019,7,165,3443
2019,7,169,1745
2019,7,171,5722
2019,7,172,12155
2019,7,18,92656
2019,7,19,394
2019,7,192,19497
2019,7,2,74534
2019,7,20,400126
2019,7,201,38598
2019,7,206,3547
2019,7,21,235043
2019,7,22,459587
2019,7,24,55317
2019,7,26,90985
2019,7,28,146164
2019,7,29,328713
2019,7,3,431799
2019,7,30,73507
2019,7,31,7454
2019,7,34,123130
2019,7,35,121015
2019,7,36,346133
2019,7,37,30018
2019,7,39,45792
2019,7,4,516900
2019,7,43,34787
2019,7,44,73330
2019,7,47,244219
2019,7,48,14171
2019,7,49,442039
2019,7,49B,142762
2019,7,5,13995
2019,7,50,226372
