ridership,daytype,date,route,month_beginning,avg_weekday_rides,monthtotal,avg_sunday_holiday_rides,avg_saturday_rides,routename
17914,W,2001-01-02,20,2001-01-01,21570.3,566683.0,8184.0,12804.3,Madison
6756,W,2001-01-02,155,2001-01-01,7283.4,198930.0,3555.3,5229.9,Devon
27047,W,2001-01-04,79,2001-01-01,30018.4,833507.0,15573.7,23808.6,79th
2540,U,2001-01-01,94,2001-01-01,10603.7,269786.0,3467.0,4792.6,South California
5109,W,2001-01-02,95E,2001-01-01,5787.1,160511.0,3014.3,4530.5,93rd-95th
1791,W,2001-01-03,81W,2001-01-01,1577.3,39738.0,337.6,837.2,West Lawrence
8273,W,2001-01-02,156,2001-01-01,9039.1,198859.0,0.0,0.0,LaSalle
5670,W,2001-01-04,44,2001-01-01,6559.2,162910.0,1564.6,2696.0,Wallace-Racine
4295,U,2001-01-01,70,2001-01-01,11102.5,301077.0,5264.0,7625.8,Division
329,W,2001-01-02,127,2001-01-01,245.9,5410.0,0.0,0.0,Madison/Roosevelt Circulator
665,W,2001-01-04,123,2001-01-01,886.2,19495.0,0.0,0.0,Illinois Center/Union Express
15132,W,2001-01-04,87,2001-01-01,15732.2,415524.0,5571.5,10389.7,87th
6679,W,2001-01-04,53A,2001-01-01,9037.4,218700.0,1417.1,3198.0,South Pulaski
6907,W,2001-01-04,1,2001-01-01,6982.6,153617.0,0.0,0.0,Indiana/Hyde Park
14784,W,2001-01-04,81,2001-01-01,14489.3,402803.0,7558.0,11561.8,Lawrence
893,W,2001-01-04,201,2001-01-01,1275.3,31865.0,268.9,615.9,Central/Ridge
375,U,2001-01-01,18,2001-01-01,1923.8,49130.0,642.3,898.5,16th/18th
6755,W,2001-01-04,21,2001-01-01,7423.7,218216.0,4781.0,7747.2,Cermak
4857,W,2001-01-03,95E,2001-01-01,5787.1,160511.0,3014.3,4530.5,93rd-95th
408,U,2001-01-01,88,2001-01-01,1721.8,43101.0,523.9,650.3,Higgins
9283,W,2001-01-03,156,2001-01-01,9039.1,198859.0,0.0,0.0,LaSalle
9649,W,2001-01-03,146,2001-01-01,9355.1,242849.0,3117.4,5362.4,Inner Drive/Michigan Express
1961,W,2001-01-02,37,2001-01-01,2500.6,55014.0,0.0,0.0,Sedgwick
7689,W,2001-01-03,152,2001-01-01,10738.1,265503.0,2287.1,4457.2,Addison
11179,W,2001-01-04,52,2001-01-01,11592.4,313490.0,5112.6,8223.9,Kedzie/California
161,W,2001-01-04,173,2001-01-01,253.0,9088.0,254.6,562.1,U. of Chicago/Lakeview Express
880,W,2001-01-05,33,2001-01-01,770.2,16944.0,0.0,0.0,Mag Mile Express
5128,U,2001-01-01,72,2001-01-01,15417.4,418889.0,6853.7,11359.3,North
2933,W,2001-01-03,125,2001-01-01,2690.8,59197.0,0.0,0.0,Water Tower Express
12176,W,2001-01-04,76,2001-01-01,13254.3,348404.0,4827.2,8168.3,Diversey
1353,W,2001-01-02,86,2001-01-01,1831.2,40287.0,0.0,0.0,Narragansett/Ridgeland
4678,W,2001-01-03,49B,2001-01-01,5087.6,133958.0,1954.1,3065.0,North Western
8278,W,2001-01-04,126,2001-01-01,10129.2,255239.0,2650.5,4785.9,Jackson
1462,W,2001-01-02,136,2001-01-01,2055.4,45218.0,0.0,0.0,Sheridan/LaSalle Express
6535,W,2001-01-02,21,2001-01-01,7423.7,218216.0,4781.0,7747.2,Cermak
1008,U,2001-01-01,8A,2001-01-01,3196.5,89030.0,1336.2,3006.6,South Halsted
7900,U,2001-01-01,66,2001-01-01,21001.5,557759.0,8478.8,13332.8,Chicago
381,W,2001-01-04,17,2001-01-01,514.5,11319.0,0.0,0.0,Westchester
16893,W,2001-01-03,8,2001-01-01,19582.2,521892.0,8280.8,12420.0,Halsted
2777,W,2001-01-04,112,2001-01-01,3874.0,95661.0,935.1,1439.3,Vincennes/111th
2059,W,2001-01-05,39,2001-01-01,2249.6,49492.0,0.0,0.0,Pershing
2686,W,2001-01-02,30,2001-01-01,3823.5,95218.0,652.2,1960.2,South Chicago
8511,W,2001-01-02,152,2001-01-01,10738.1,265503.0,2287.1,4457.2,Addison
4148,W,2001-01-04,90,2001-01-01,3880.4,104289.0,1382.3,3002.1,Harlem
857,W,2001-01-02,204,2001-01-01,1445.4,31798.0,0.0,0.0,Dodge
14542,W,2001-01-03,6,2001-01-01,18443.0,493926.0,7165.6,13088.2,Jackson Park Express
2201,U,2001-01-01,95W,2001-01-01,5162.6,144468.0,2556.7,4526.5,West 95th
8853,W,2001-01-04,152,2001-01-01,10738.1,265503.0,2287.1,4457.2,Addison
1260,W,2001-01-04,43,2001-01-01,1351.0,34213.0,354.8,679.3,43rd
326,U,2001-01-01,106,2001-01-01,2317.8,55265.0,398.4,570.3,East 103rd
2421,W,2001-01-02,8A,2001-01-01,3196.5,89030.0,1336.2,3006.6,South Halsted
3678,U,2001-01-01,12,2001-01-01,10763.5,288055.0,4691.0,6950.6,Roosevelt
21114,W,2001-01-04,49,2001-01-01,23732.1,666662.0,12432.2,20598.9,Western
321,W,2001-01-02,202,2001-01-01,480.1,10563.0,0.0,0.0,Main/Emerson
5559,W,2001-01-02,91,2001-01-01,8583.5,218421.0,2384.8,4415.0,Austin
1523,W,2001-01-02,18,2001-01-01,1923.8,49130.0,642.3,898.5,16th/18th
4803,U,2001-01-01,60,2001-01-01,13431.4,366761.0,6310.6,9929.4,Blue Island/26th
1130,W,2001-01-04,204,2001-01-01,1445.4,31798.0,0.0,0.0,Dodge
857,W,2001-01-02,55N,2001-01-01,1071.8,24237.0,0.0,164.4,55th/Narragansett
974,W,2001-01-03,68,2001-01-01,1579.5,38614.0,286.5,608.1,Northwest Highway
10046,W,2001-01-02,54,2001-01-01,12138.9,334903.0,5940.5,9536.3,Cicero
14486,W,2001-01-03,82,2001-01-01,19622.7,511235.0,6745.8,11451.6,Kimball-Homan
4268,W,2001-01-02,7,2001-01-01,5504.4,121097.0,0.0,0.0,Harrison
753,W,2001-01-02,85A,2001-01-01,952.5,21550.0,0.0,148.7,North Central
11825,W,2001-01-02,80,2001-01-01,11837.8,319117.0,5275.2,8077.1,Irving Park
15628,W,2001-01-02,77,2001-01-01,19856.3,529774.0,8400.0,12733.9,Belmont
5805,U,2001-01-01,55,2001-01-01,12778.5,350112.0,6495.9,9126.4,Garfield
4177,W,2001-01-04,51,2001-01-01,4654.8,127952.0,2169.4,3675.0,51st
6309,U,2001-01-01,8,2001-01-01,19582.2,521892.0,8280.8,12420.0,Halsted
14868,W,2001-01-03,72,2001-01-01,15417.4,418889.0,6853.7,11359.3,North
6539,W,2001-01-04,92,2001-01-01,7414.5,191196.0,2316.9,4123.2,Foster
3071,U,2001-01-01,76,2001-01-01,13254.3,348404.0,4827.2,8168.3,Diversey
25587,W,2001-01-03,79,2001-01-01,30018.4,833507.0,15573.7,23808.6,79th
1870,U,2001-01-01,91,2001-01-01,8583.5,218421.0,2384.8,4415.0,Austin
69,U,2001-01-01,173,2001-01-01,253.0,9088.0,254.6,562.1,U. of Chicago/Lakeview Express
819,U,2001-01-01,90,2001-01-01,3880.4,104289.0,1382.3,3002.1,Harlem
4507,W,2001-01-03,7,2001-01-01,5504.4,121097.0,0.0,0.0,Harrison
2971,W,2001-01-03,30,2001-01-01,3823.5,95218.0,652.2,1960.2,South Chicago
6404,W,2001-01-03,91,2001-01-01,8583.5,218421.0,2384.8,4415.0,Austin
5812,U,2001-01-01,82,2001-01-01,19622.7,511235.0,6745.8,11451.6,Kimball-Homan
1138,W,2001-01-03,86,2001-01-01,1831.2,40287.0,0.0,0.0,Narragansett/Ridgeland
13977,W,2001-01-02,36,2001-01-01,15360.0,436950.0,8687.4,13898.6,Broadway
1352,W,2001-01-02,68,2001-01-01,1579.5,38614.0,286.5,608.1,Northwest Highway
19286,W,2001-01-03,22,2001-01-01,21206.2,577386.0,10462.2,14634.5,Clark
17928,W,2001-01-04,8,2001-01-01,19582.2,521892.0,8280.8,12420.0,Halsted
11569,W,2001-01-04,54,2001-01-01,12138.9,334903.0,5940.5,9536.3,Cicero
1047,W,2001-01-02,203,2001-01-01,1593.3,35053.0,0.0,0.0,Ridge/Grant
355,W,2001-01-03,170,2001-01-01,287.1,6315.0,0.0,0.0,U. of Chicago/Midway
3137,W,2001-01-03,112,2001-01-01,3874.0,95661.0,935.1,1439.3,Vincennes/111th
6834,W,2001-01-02,47,2001-01-01,8069.8,220680.0,3490.7,6422.7,47th
985,W,2001-01-03,204,2001-01-01,1445.4,31798.0,0.0,0.0,Dodge
7731,W,2001-01-03,145,2001-01-01,8074.3,203232.0,1831.2,4110.5,Wilson/Michigan Express
541,U,2001-01-01,57,2001-01-01,3042.6,75668.0,616.1,1412.8,Laramie
