year,month,route,ridership,city
2019,4,62,8552,Chicago
2019,4,62H,801,Chicago
2019,4,63,12623,Chicago
2019,4,63W,1201,Chicago
2019,4,65,6954,Chicago
2019,4,66,18661,Chicago
2019,4,67,7980,Chicago
2019,4,68,819,Chicago
2019,4,7,5562,Chicago
2019,4,70,7217,Chicago
2019,4,71,7543,Chicago
2019,4,72,11973,Chicago
2019,4,73,4460,Chicago
2019,4,74,9993,Chicago
2019,4,75,5779,Chicago
2019,4,76,8616,Chicago
2019,4,77,16755,Chicago
2019,4,78,6372,Chicago
2019,4,79,20182,Chicago
2019,4,8,19031,Chicago
2019,4,80,9095,Chicago
2019,4,81,9730,Chicago
2019,4,81W,1322,Chicago
2019,4,82,14087,Chicago
2019,4,84,2976,Chicago
2019,4,85,7697,Chicago
2019,4,85A,651,Chicago
2019,4,86,2243,Chicago
2019,4,87,9434,Chicago
2019,4,88,982,Chicago
2019,4,8A,2338,Chicago
2019,4,9,15232,Chicago
2019,4,90,3646,Chicago
2019,4,91,5142,Chicago
2019,4,92,5178,Chicago
2019,4,93,3160,Chicago
2019,4,94,6733,Chicago
2019,4,95,4676,Chicago
2019,4,96,785,Chicago
2019,4,97,2490,Chicago
2019,4,J14,8719,Chicago
2019,4,X49,6048,Chicago
2019,4,X9,7801,Chicago
2019,4,X98,11,Chicago
2019,5,1,1732,Chicago
2019,5,10,168,Chicago
2019,5,100,510,Chicago
2019,5,1001,171,Chicago
2019,5,103,1666,Chicago
2019,5,106,977,Chicago
2019,5,108,1052,Chicago
2019,5,11,1224,Chicago
2019,5,111,2705,Chicago
2019,5,111A,189,Chicago
2019,5,112,1534,Chicago
2019,5,115,2570,Chicago
2019,5,119,3745,Chicago
2019,5,12,10331,Chicago
2019,5,120,752,Chicago
2019,5,121,1111,Chicago
2019,5,124,1048,Chicago
2019,5,125,1122,Chicago
2019,5,126,4218,Chicago
2019,5,130,265,Chicago
2019,5,134,2820,Chicago
2019,5,135,3363,Chicago
2019,5,136,1955,Chicago
2019,5,143,1734,Chicago
2019,5,146,11781,Chicago
2019,5,147,10319,Chicago
2019,5,148,2437,Chicago
2019,5,15,6543,Chicago
2019,5,151,13594,Chicago
2019,5,152,8498,Chicago
2019,5,155,5406,Chicago
2019,5,156,6649,Chicago
2019,5,157,5002,Chicago
2019,5,165,205,Chicago
2019,5,169,80,Chicago
